Datetime,Open,High,Low,Close,MA50
12/11/07 0:00,1.47061,1.47506,1.46378,1.46586,1.4554982
12/12/07 0:00,1.46609,1.4748,1.46469,1.4711,1.4564856
12/13/07 0:00,1.47108,1.47379,1.45742,1.46248,1.4575116
12/14/07 0:00,1.46246,1.46578,1.44094,1.44282,1.4584128
12/16/07 0:00,1.43892,1.44173,1.43838,1.44139,1.4588602
12/17/07 0:00,1.44144,1.44521,1.43273,1.44084,1.4591094
12/18/07 0:00,1.44101,1.44357,1.43639,1.44166,1.4593292
12/19/07 0:00,1.44167,1.44235,1.43229,1.43797,1.4594896
12/20/07 0:00,1.43817,1.43899,1.43073,1.43292,1.4598996
12/21/07 0:00,1.43289,1.44101,1.43218,1.43772,1.460049
12/23/07 0:00,1.43738,1.43824,1.43643,1.43724,1.4602836
12/24/07 0:00,1.43763,1.44129,1.43692,1.43933,1.4603838
12/25/07 0:00,1.43938,1.44205,1.43825,1.4394,1.4603888
12/26/07 0:00,1.43936,1.45058,1.43866,1.44819,1.4603726
12/27/07 0:00,1.44846,1.46411,1.44643,1.46082,1.4605058
12/28/07 0:00,1.46094,1.47273,1.45873,1.4721,1.4608484
12/30/07 0:00,1.47133,1.47351,1.47022,1.47312,1.4613562
12/31/07 0:00,1.47344,1.47491,1.45651,1.45828,1.4619726
1/1/08 0:00,1.45841,1.46285,1.45718,1.46174,1.4621316
1/2/08 0:00,1.46172,1.4749,1.45925,1.4714,1.4623618
1/3/08 0:00,1.47142,1.47807,1.46842,1.47411,1.4628398
1/4/08 0:00,1.47404,1.48241,1.4691,1.47397,1.4632034
1/6/08 0:00,1.47452,1.47547,1.47404,1.47472,1.4634422
1/7/08 0:00,1.47483,1.47494,1.46557,1.46802,1.4635842
1/8/08 0:00,1.4681,1.47428,1.46754,1.47042,1.4635996
1/9/08 0:00,1.4705,1.47427,1.46357,1.46584,1.4636964
1/10/08 0:00,1.46582,1.48133,1.46387,1.4798,1.4639776
1/11/08 0:00,1.47976,1.4819,1.47585,1.47717,1.4643372
1/13/08 0:00,1.47797,1.48159,1.47779,1.48029,1.4645822
1/14/08 0:00,1.48035,1.49146,1.47931,1.48644,1.4649532
1/15/08 0:00,1.48647,1.49219,1.47698,1.4799,1.4653652
1/16/08 0:00,1.4799,1.48583,1.45923,1.4659,1.4656292
1/17/08 0:00,1.46598,1.47141,1.45863,1.46362,1.465616
1/18/08 0:00,1.4636,1.46941,1.45982,1.46168,1.4652294
1/20/08 0:00,1.46029,1.46042,1.45849,1.45942,1.4647536
1/21/08 0:00,1.45941,1.45977,1.44085,1.44158,1.4642416
1/22/08 0:00,1.44154,1.4684,1.43621,1.4642,1.4634016
1/23/08 0:00,1.46419,1.46518,1.45072,1.46262,1.4630212
1/24/08 0:00,1.46253,1.47779,1.45874,1.47685,1.4625316
1/25/08 0:00,1.47672,1.47736,1.46567,1.46807,1.4624022
1/27/08 0:00,1.46779,1.47084,1.46736,1.4689,1.4620892
1/28/08 0:00,1.46886,1.47977,1.46588,1.47847,1.461955
1/29/08 0:00,1.47831,1.4788,1.47346,1.47659,1.4622614
1/30/08 0:00,1.47666,1.49073,1.47508,1.48247,1.4624766
